cve_ageb,ubica_geo,records,points,nse,est_socio
053-3,151040001,86293,105.39480590820312,C-,2.8158252
053-4,010010001,2012,97.5,D+,3.0
053-6,060100001,13675,106.79005432128906,C-,3.1561244
053-7,071010001,44226,135.04518127441406,C,3.1517658
053-9,150580001,21184,62.0,D,2.0
054-2,090020001,13712,123.0,C-,1.0
054-4,310500001,5385,123.80000305175781,C-,3.0
054-5,090170001,20813,103.9442138671875,D+,2.5118434
054-7,270120018,6138,89.38888549804688,D+,2.0
054-9,060020001,1815,112.0,C-,3.0
055-1,170180001,6420,82.80000305175781,D+,2.0
055-2,110200001,8776,96.75,D+,2.0
055-6,190210001,18999,77.02794647216797,D,2.0
055-8,020010001,15644,127.87950897216797,C-,3.6545641
055-A,050350178,24061,102.65325927734375,D+,2.4029758
056-0,100070001,10505,125.62055969238281,C-,3.0
056-2,020010001,29104,180.39715576171875,C+,3.5395823
056-3,180170001,7925,151.45236206054688,C,3.0
056-4,060070001,2908,106.91471862792969,C-,3.0
056-5,190440001,21136,112.9375,C-,3.0
056-7,020030001,40050,111.77777862548828,C-,3.0
056-9,310590004,4700,84.80000305175781,D+,2.0
056-A,090150001,11094,100.0,D+,3.0
057-1,190310001,8240,83.5,D+,2.0
057-3,150310001,34450,81.42118835449219,D+,2.0
057-4,060100001,3900,149.28768920898438,C,4.0
057-5,090060001,23730,100.80000305175781,D+,2.0
057-7,020010001,36820,117.72718811035156,C-,2.5649104
057-9,190480001,7836,90.75,D+,2.0
057-A,170060001,8598,108.62212371826172,C-,3.0
058-0,320560001,5190,109.4000015258789,C-,3.0
058-1,200670001,8290,142.39999389648438,C,3.0
058-3,060070001,37460,92.0771255493164,D+,2.0
058-4,150200001,33078,111.45903778076172,C-,2.5338895
058-7,010010001,55664,100.23228454589844,D+,2.375018
058-8,211140001,19955,109.65773010253906,C-,2.396893
058-9,060100001,1672,97.0,D+,2.0
059-0,130480001,6860,127.0,C-,3.0
059-2,150310001,33555,84.5295181274414,D+,2.0
059-3,240130001,7550,112.0,C-,2.0
059-4,230060051,15894,77.22222137451172,D,2.0
059-8,070890001,10610,121.37059020996094,C-,2.6938736
060-0,020040001,14490,119.63353729248047,C-,2.5962732
060-2,140970866,60509,170.1007080078125,C+,2.0641558
060-4,010010001,3230,115.19999694824219,C-,3.0
060-6,090150001,10040,102.0,D+,3.0
060-7,290050009,2985,102.0,D+,2.0
060-9,090140001,40825,127.43353271484375,C-,3.2815676
061-0,090150001,14372,100.75,D+,3.0
061-5,070890001,8992,173.75,C+,3.0
061-7,141200001,8595,142.6666717529297,C,2.0
061-8,120290001,14561,124.4895248413086,C-,2.4855435
061-9,220140001,3920,161.0,C+,4.0
061-A,090030001,30429,95.565673828125,D+,2.0
062-0,170110001,3736,118.25,C-,3.0
062-2,090160001,26160,195.25,AB,4.0
062-4,090030001,12996,133.75,C,2.0
062-5,040091002,6240,49.0,D,1.0
062-7,120570552,5835,69.0,D,1.0
062-8,050320014,49420,96.75,D+,2.0
062-A,160380001,48560,102.5,D+,2.0
063-2,220160001,3772,166.25,C+,4.0
063-3,310500001,8989,128.94549560546875,C,2.5144064
063-4,060070001,44488,128.99615478515625,C,2.0396736
063-5,090130118,14872,114.77851104736328,C-,2.7358794
063-7,240350001,12625,125.36039733886719,C-,3.0
063-9,090030001,31975,133.1175994873047,C,2.0
063-A,090150001,39120,85.65091705322266,D+,2.0
064-0,170180001,12731,89.42518615722656,D+,2.0
064-1,130690042,24642,104.61111450195312,D+,2.0
064-2,050250001,4852,84.75,D+,2.0
064-3,310590001,2178,69.0,D,2.0
064-4,210190001,37710,104.16666412353516,D+,2.0
